"age","year","data"
1,1998,91485.1
2,1998,670225
3,1998,159660
4,1998,39559.1
5,1998,313.544
6,1998,41.7087
7,1998,0.631891
8,1998,0.6539
9,1998,0.563584
10,1998,0.604835
1,1999,90945.4
2,1999,179477
3,1999,300388
4,1999,40972.5
5,1999,300.747
6,1999,40.5763
7,1999,0.460547
8,1999,0.481163
9,1999,0.507941
10,1999,0.49442
1,2000,125371
2,2000,126877
3,2000,81843.7
4,2000,66408.1
5,2000,1486.73
6,2000,237.939
7,2000,250.152
8,2000,184.263
9,2000,0.633874
10,2000,0.564361
1,2001,84847.7
2,2001,169860
3,2001,108348
4,2001,52467
5,2001,38302
6,2001,160.459
7,2001,44.67
8,2001,1.79755
9,2001,0.550266
10,2001,0.40171
1,2002,272333
2,2002,158113
3,2002,112731
4,2002,15640.9
5,2002,2504.04
6,2002,774.15
7,2002,86.5955
8,2002,1.43664
9,2002,0.373006
10,2002,0.45858
1,2003,90858.2
2,2003,489878
3,2003,71881.3
4,2003,20088.9
5,2003,3795.25
6,2003,405.834
7,2003,4662.21
8,2003,1.53693
9,2003,0.488345
10,2003,0.752184
1,2004,234967
2,2004,137867
3,2004,161147
4,2004,9247.95
5,2004,2514.3
6,2004,532.166
7,2004,57.6866
8,2004,1.73256
9,2004,0.58732
10,2004,1.16658
1,2005,167210
2,2005,256437
3,2005,51453.9
4,2005,24395.5
5,2005,3520.24
6,2005,5206.16
7,2005,269.912
8,2005,5.41199
9,2005,0.412759
10,2005,0.912422
1,2006,148183
2,2006,160876
3,2006,109041
4,2006,8438.93
5,2006,2334.49
6,2006,265.065
7,2006,720.097
8,2006,180.269
9,2006,0.314542
10,2006,0.618885
1,2007,187530
2,2007,161138
3,2007,80938.7
4,2007,15848.9
5,2007,1233.3
6,2007,6426.03
7,2007,254.217
8,2007,1181.98
9,2007,0.61069
10,2007,0.563149
1,2008,155076
2,2008,246878
3,2008,50466.5
4,2008,5494.87
5,2008,1836.36
6,2008,389.919
7,2008,7523.43
8,2008,858.121
9,2008,0.527578
10,2008,0.78784
1,2009,165422
2,2009,166873
3,2009,87277.1
4,2009,10242.2
5,2009,1904.8
6,2009,1117.01
7,2009,203.454
8,2009,2556.05
9,2009,0.479378
10,2009,1.08661
1,2010,205546
2,2010,127398
3,2010,68997.4
4,2010,25114.8
5,2010,2867.73
6,2010,1661.26
7,2010,2026.79
8,2010,298.222
9,2010,0.426169
10,2010,0.800045
1,2011,162940
2,2011,161962
3,2011,72807.4
4,2011,34408.1
5,2011,11733.1
6,2011,2774.31
7,2011,163.248
8,2011,1285.92
9,2011,0.391191
10,2011,0.669413
1,2012,97974.9
2,2012,201721
3,2012,123706
4,2012,31071.1
5,2012,9733.36
6,2012,1559.18
7,2012,243.238
8,2012,8.00788
9,2012,0.396732
10,2012,1.06485
1,2013,128914
2,2013,165935
3,2013,144353
4,2013,29198.8
5,2013,5406.1
6,2013,1030.25
7,2013,220.69
8,2013,16.8245
9,2013,0.430026
10,2013,0.784788
1,2014,208740
2,2014,204204
3,2014,123802
4,2014,58195.7
5,2014,18616
6,2014,2957.45
7,2014,535.825
8,2014,68.3298
9,2014,0.473116
10,2014,0.991085
1,2015,127812
2,2015,223530
3,2015,135185
4,2015,41878
5,2015,13510.1
6,2015,2468.11
7,2015,594.746
8,2015,179.342
9,2015,0.477544
10,2015,0.764603
1,2016,128907
2,2016,110003
3,2016,151378
4,2016,45553.9
5,2016,16806
6,2016,6924.02
7,2016,1925.87
8,2016,1335.74
9,2016,0.285964
10,2016,0.848872
1,2017,115034
2,2017,138588
3,2017,83966.3
4,2017,66377.9
5,2017,16426
6,2017,4224.26
7,2017,1500.84
8,2017,268.67
9,2017,0.418278
10,2017,1.38198
