"age","year","data"
1,1998,0.047
2,1998,0.086
3,1998,0.17
4,1998,0.199
5,1998,0.22
6,1998,0
7,1998,0.244
8,1998,0
9,1998,0
10,1998,0
1,1999,0.053
2,1999,0.097
3,1999,0.143
4,1999,0.197
5,1999,0.22
6,1999,0
7,1999,0
8,1999,0
9,1999,0
10,1999,0
1,2000,0.059
2,2000,0.11
3,2000,0.151
4,2000,0.174
5,2000,0.244
6,2000,0
7,2000,0.203
8,2000,0
9,2000,0
10,2000,0
1,2001,0.068
2,2001,0.122
3,2001,0.167
4,2001,0.178
5,2001,0.197
6,2001,0.244
7,2001,0
8,2001,0.244
9,2001,0
10,2001,0
1,2002,0.056
2,2002,0.119
3,2002,0.17
4,2002,0.182
5,2002,0.172
6,2002,0.208
7,2002,0.003
8,2002,0
9,2002,0
10,2002,0
1,2003,0.064
2,2003,0.113
3,2003,0.174
4,2003,0.185
5,2003,0.198
6,2003,0.204
7,2003,0.221
8,2003,0
9,2003,0
10,2003,0
1,2004,0.054
2,2004,0.117
3,2004,0.164
4,2004,0.183
5,2004,0.189
6,2004,0.192
7,2004,0.196
8,2004,0
9,2004,0
10,2004,0
1,2005,0.061
2,2005,0.109
3,2005,0.17
4,2005,0.175
5,2005,0.215
6,2005,0.205
7,2005,0.21
8,2005,0.176
9,2005,0
10,2005,0
1,2006,0.06
2,2006,0.128
3,2006,0.164
4,2006,0.193
5,2006,0.198
6,2006,0.204
7,2006,0.212
8,2006,0.22
9,2006,0
10,2006,0
1,2007,0.055
2,2007,0.098
3,2007,0.177
4,2007,0.178
5,2007,0.188
6,2007,0.199
7,2007,0.225
8,2007,0.2
9,2007,0
10,2007,0
1,2008,0.056
2,2008,0.116
3,2008,0.163
4,2008,0.186
5,2008,0.187
6,2008,0.23
7,2008,0.22
8,2008,0.191
9,2008,0
10,2008,0
1,2009,0.06
2,2009,0.116
3,2009,0.164
4,2009,0.199
5,2009,0.202
6,2009,0.212
7,2009,0.21
8,2009,0.22
9,2009,0
10,2009,0
1,2010,0.06
2,2010,0.117
3,2010,0.159
4,2010,0.199
5,2010,0.19
6,2010,0.198
7,2010,0.211
8,2010,0.234
9,2010,0.001
10,2010,0
1,2011,0.047
2,2011,0.104
3,2011,0.162
4,2011,0.171
5,2011,0.192
6,2011,0.196
7,2011,0.199
8,2011,0.211
9,2011,0
10,2011,0
1,2012,0.052
2,2012,0.093
3,2012,0.142
4,2012,0.188
5,2012,0.198
6,2012,0.206
7,2012,0.215
8,2012,0.215
9,2012,0
10,2012,0
1,2013,0.051
2,2013,0.081
3,2013,0.127
4,2013,0.151
5,2013,0.17
6,2013,0.194
7,2013,0.228
8,2013,0.346
9,2013,0
10,2013,0
1,2014,0.025
2,2014,0.089
3,2014,0.132
4,2014,0.162
5,2014,0.18
6,2014,0.212
7,2014,0.3
8,2014,0.37
9,2014,0.255
10,2014,0
1,2015,0.026
2,2015,0.078
3,2015,0.122
4,2015,0.149
5,2015,0.164
6,2015,0.185
7,2015,0.173
8,2015,0.218
9,2015,0.404
10,2015,0
1,2016,0.048
2,2016,0.079
3,2016,0.124
4,2016,0.15
5,2016,0.151
6,2016,0.179
7,2016,0.166
8,2016,0.192
9,2016,0.251
10,2016,0
1,2017,0.051
2,2017,0.08
3,2017,0.121
4,2017,0.139
5,2017,0.161
6,2017,0.194
7,2017,0.208
8,2017,0.206
9,2017,0.513
10,2017,0
