"age","year","data"
1,1998,34532.5631
2,1998,82221.9592
3,1998,9515.3315
4,1998,2651.9383
5,1998,645.3005
6,1998,378.8914
7,1998,226.3174
8,1998,192.7535
9,1998,71.5897
10,1998,123.5459
1,1999,44939.5731
2,1999,17802.2827
3,1999,29660.8187
4,1999,2780.6162
5,1999,1102.1556
6,1999,253.4149
7,1999,95.6894
8,1999,85.4492
9,1999,39.8301
10,1999,31.5687
1,2000,42378.7013
2,2000,21451.0153
3,2000,9105.1508
4,2000,9996.2692
5,2000,614.5948
6,2000,218.2329
7,2000,109.4181
8,2000,95.987
9,2000,15.7094
10,2000,58.1705
1,2001,29311.1256
2,2001,19715.3666
3,2001,6791.2905
4,2001,3467.7826
5,2001,3463.8056
6,2001,269.9875
7,2001,90.6349
8,2001,72.107
9,2001,54.8402
10,2001,84.6143
1,2002,134366.9962
2,2002,16309.1792
3,2002,6894.7657
4,2002,3732.8785
5,2002,2068.2557
6,2002,1545.9131
7,2002,267.4207
8,2002,129.1587
9,2002,42.9289
10,2002,202.1259
1,2003,32240.8305
2,2003,44967.8748
3,2003,6806.8424
4,2003,3385.7426
5,2003,1599.169
6,2003,932.6215
7,2003,921.6961
8,2003,70.2361
9,2003,52.9422
10,2003,254.0582
1,2004,44366.3376
2,2004,13238.6565
3,2004,17375.7637
4,2004,2954.9032
5,2004,1513.7266
6,2004,878.9124
7,2004,489.3721
8,2004,721.821
9,2004,42.6969
10,2004,214.6765
1,2005,37561.5985
2,2005,27225.8894
3,2005,4621.0473
4,2005,6827.3592
5,2005,908.4377
6,2005,1034.7599
7,2005,370.8295
8,2005,79.3421
9,2005,841.854
10,2005,382.2386
1,2006,41532.3136
2,2006,16493.1622
3,2006,9955.0273
4,2006,2370.2444
5,2006,3777.7691
6,2006,581.9751
7,2006,740.6232
8,2006,98.8893
9,2006,128.1705
10,2006,698.2977
1,2007,84754.1188
2,2007,21429.3621
3,2007,10560.7205
4,2007,7984.1045
5,2007,1695.7073
6,2007,2521.421
7,2007,283.897
8,2007,616.2317
9,2007,71.6882
10,2007,987.8643
1,2008,68596.8597
2,2008,45493.2787
3,2008,12562.6915
4,2008,6354.079
5,2008,4409.5292
6,2008,941.6398
7,2008,1417.7281
8,2008,291.8013
9,2008,461.318
10,2008,906.2717
1,2009,64526.4962
2,2009,22690.9305
3,2009,19664.6352
4,2009,5073.7245
5,2009,3086.4605
6,2009,2538.551
7,2009,647.0254
8,2009,1435.6234
9,2009,275.2124
10,2009,1157.8827
1,2010,80970.0112
2,2010,27581.3239
3,2010,13605.7462
4,2010,9941.4409
5,2010,3052.1408
6,2010,1698.5937
7,2010,1722.5895
8,2010,588.9589
9,2010,973.7308
10,2010,1360.2951
1,2011,126770.2646
2,2011,41926.8744
3,2011,17987.6824
4,2011,9149.6897
5,2011,6059.9682
6,2011,1944.2007
7,2011,907.236
8,2011,1609.2213
9,2011,233.8704
10,2011,1741.1344
1,2012,58884.9446
2,2012,63231.7436
3,2012,38108.7336
4,2012,15013.8194
5,2012,7942.3627
6,2012,4960.8852
7,2012,1540.5517
8,2012,1170.5514
9,2012,1542.1537
10,2012,1498.3627
1,2013,87360.9182
2,2013,51484.7225
3,2013,37830.3766
4,2013,18759.5163
5,2013,7064.7951
6,2013,4167.667
7,2013,3078.0979
8,2013,1239.2339
9,2013,755.3127
10,2013,2278.495
1,2014,143731.619
2,2014,59687.5334
3,2014,26609.8241
4,2014,20310.1513
5,2014,8602.0135
6,2014,3584.0757
7,2014,2191.7928
8,2014,1699.5336
9,2014,958.6127
10,2014,2191.7991
1,2015,51396.9108
2,2015,65837.6165
3,2015,33361.1735
4,2015,16222.3998
5,2015,12465.9041
6,2015,6519.7167
7,2015,2190.899
8,2015,1600.1662
9,2015,1484.9102
10,2015,2555.1239
1,2016,82875.9249
2,2016,30990.8384
3,2016,31610.7251
4,2016,17223.9902
5,2016,9053.9722
6,2016,6309.6481
7,2016,3523.2735
8,2016,1625.6985
9,2016,1045.2273
10,2016,2322.0131
1,2017,140854.0731
2,2017,49998.4855
3,2017,17505.6448
4,2017,19195.8783
5,2017,10183.7414
6,2017,4911.4844
7,2017,3025.5227
8,2017,1891.2792
9,2017,651.9373
10,2017,2054.3888
