"age","year","data"
1,1998,172.476
2,1998,31729.2
3,1998,62021.4
4,1998,46220.9
5,1998,24022.8
6,1998,11393.6
7,1998,7207.99
8,1998,3753.99
9,1998,2235.54
10,1998,4065.02
1,1999,392.521
2,1999,7483.9
3,1999,204893
4,1999,35388.2
5,1999,34317.4
6,1999,9764.27
7,1999,3719.66
8,1999,2526.9
9,1999,1623.03
10,1999,3198.64
1,2000,3154.79
2,2000,11602.5
3,2000,65388.4
4,2000,175798
5,2000,31335.7
6,2000,12400.9
7,2000,2828.14
8,2000,1249.26
9,2000,1209.22
10,2000,2394.63
1,2001,12647.3
2,2001,17877.7
3,2001,34016.4
4,2001,40148.8
5,2001,71644.1
6,2001,12092.1
7,2001,4652.59
8,2001,1453.58
9,2001,715.737
10,2001,1899.49
1,2002,1078.66
2,2002,14063.5
3,2002,86682.2
4,2002,62282.5
5,2002,39085.1
6,2002,46402.6
7,2002,5162.35
8,2002,2161.04
9,2002,593.064
10,2002,1502.59
1,2003,938.593
2,2003,41937.5
3,2003,64292.9
4,2003,54604.5
5,2003,30206.8
6,2003,19650.3
7,2003,14682.7
8,2003,1818.22
9,2003,673.388
10,2003,1323.94
1,2004,547.854
2,2004,9052.67
3,2004,150079
4,2004,33910.2
5,2004,30249.1
6,2004,15722.5
7,2004,7162
8,2004,5514.65
9,2004,541.096
10,2004,1329.72
1,2005,5248.8
2,2005,14580.3
3,2005,32934.7
4,2005,93409.3
5,2005,15802.2
6,2005,9446.28
7,2005,5544.56
8,2005,2298.16
9,2005,1901.75
10,2005,1181.58
1,2006,243.557
2,2006,14329.5
3,2006,74279.4
4,2006,29512.1
5,2006,50302.8
6,2006,8492.46
7,2006,5464.87
8,2006,2122.13
9,2006,829.465
10,2006,1743.32
1,2007,3466.81
2,2007,16356.3
3,2007,46474.7
4,2007,63599.3
5,2007,15763.2
6,2007,19965.7
7,2007,4130.8
8,2007,1445.88
9,2007,737.773
10,2007,1468.52
1,2008,458.357
2,2008,12723.3
3,2008,69597.9
4,2008,46507.5
5,2008,35005.1
6,2008,8767.71
7,2008,6855.04
8,2008,948.162
9,2008,775.741
10,2008,1475.15
1,2009,1739.84
2,2009,10729.4
3,2009,78334.3
4,2009,46006.7
5,2009,23613.5
6,2009,18686.5
7,2009,4994.77
8,2009,3381.32
9,2009,562.972
10,2009,1786.1
1,2010,2596.93
2,2010,14038.2
3,2010,56435.5
4,2010,76859
5,2010,26750.8
6,2010,12075.2
7,2010,9541.58
8,2010,1963.55
9,2010,2148.58
10,2010,2028.41
1,2011,562.677
2,2011,13668.7
3,2011,52667.4
4,2011,57594.5
5,2011,46736.4
6,2011,14054.9
7,2011,7557.36
8,2011,3950.29
9,2011,987.358
10,2011,3673.35
1,2012,174.581
2,2012,3972.78
3,2012,60547.1
4,2012,58466
5,2012,46368.2
6,2012,32279.3
7,2012,8114.62
8,2012,3632.72
9,2012,2762.86
10,2012,4097.65
1,2013,553.166
2,2013,11141.4
3,2013,72666.5
4,2013,90733.5
5,2013,48885.7
6,2013,29393.4
7,2013,15432.7
8,2013,4293.56
9,2013,2122.91
10,2013,5957.39
1,2014,5.31453
2,2014,5711.05
3,2014,43316.7
4,2014,82026.2
5,2014,50831.8
6,2014,24847
7,2014,14507
8,2014,8490.87
9,2014,2339.5
10,2014,6820.42
1,2015,0.763662
2,2015,2973.32
3,2015,44095.5
4,2015,72276.3
5,2015,65415.3
6,2015,33682.7
7,2015,14590.8
8,2015,7621.17
9,2015,3872.88
10,2015,7392.8
1,2016,0.811349
2,2016,3191.28
3,2016,44511
4,2016,80027
5,2016,48613.3
6,2016,36921.7
7,2016,17826
8,2016,5544.52
9,2016,3037.15
10,2016,8701.72
1,2017,24.2357
2,2017,5071.04
3,2017,26846.7
4,2017,65404.7
5,2017,59136.1
6,2017,34227.5
7,2017,19948.3
8,2017,7604.92
9,2017,2566.82
10,2017,8881.27
