"age","year","data"
1,1998,0.151
2,1998,0.26
3,1998,0.306
4,1998,0.384
5,1998,0.452
6,1998,0.546
7,1998,0.613
8,1998,0.673
9,1998,0.687
10,1998,0.899
1,1999,0.245
2,1999,0.253
3,1999,0.28
4,1999,0.347
5,1999,0.415
6,1999,0.416
7,1999,0.538
8,1999,0.637
9,1999,0.748
10,1999,0.804
1,2000,0.228
2,2000,0.267
3,2000,0.283
4,2000,0.312
5,2000,0.378
6,2000,0.461
7,2000,0.597
8,2000,0.689
9,2000,0.752
10,2000,0.888
1,2001,0.238
2,2001,0.267
3,2001,0.291
4,2001,0.307
5,2001,0.36
6,2001,0.412
7,2001,0.582
8,2001,0.701
9,2001,0.796
10,2001,0.799
1,2002,0.237
2,2002,0.264
3,2002,0.289
4,2002,0.311
5,2002,0.336
6,2002,0.43
7,2002,0.477
8,2002,0.644
9,2002,0.76
10,2002,0.904
1,2003,0.232
2,2003,0.252
3,2003,0.285
4,2003,0.32
5,2003,0.353
6,2003,0.389
7,2003,0.482
8,2003,0.635
9,2003,0.763
10,2003,0.857
1,2004,0.214
2,2004,0.246
3,2004,0.281
4,2004,0.328
5,2004,0.391
6,2004,0.429
7,2004,0.508
8,2004,0.56
9,2004,0.797
10,2004,0.872
1,2005,0.272
2,2005,0.265
3,2005,0.28
4,2005,0.33
5,2005,0.382
6,2005,0.426
7,2005,0.465
8,2005,0.555
9,2005,0.617
10,2005,0.91
1,2006,0.253
2,2006,0.267
3,2006,0.282
4,2006,0.322
5,2006,0.383
6,2006,0.389
7,2006,0.457
8,2006,0.477
9,2006,0.531
10,2006,0.748
1,2007,0.263
2,2007,0.268
3,2007,0.303
4,2007,0.343
5,2007,0.364
6,2007,0.432
7,2007,0.507
8,2007,0.486
9,2007,0.587
10,2007,0.632
1,2008,0.249
2,2008,0.269
3,2008,0.309
4,2008,0.341
5,2008,0.4
6,2008,0.446
7,2008,0.531
8,2008,0.72
9,2008,0.64
10,2008,0.638
1,2009,0.176
2,2009,0.26
3,2009,0.308
4,2009,0.355
5,2009,0.415
6,2009,0.481
7,2009,0.531
8,2009,0.608
9,2009,0.668
10,2009,0.792
1,2010,0.206
2,2010,0.265
3,2010,0.308
4,2010,0.348
5,2010,0.418
6,2010,0.476
7,2010,0.516
8,2010,0.625
9,2010,0.682
10,2010,0.649
1,2011,0.235
2,2011,0.242
3,2011,0.281
4,2011,0.341
5,2011,0.414
6,2011,0.504
7,2011,0.604
8,2011,0.521
9,2011,0.556
10,2011,0.804
1,2012,0.236
2,2012,0.258
3,2012,0.305
4,2012,0.351
5,2012,0.38
6,2012,0.436
7,2012,0.518
8,2012,0.558
9,2012,0.558
10,2012,0.68
1,2013,0.031
2,2013,0.242
3,2013,0.281
4,2013,0.313
5,2013,0.364
6,2013,0.417
7,2013,0.494
8,2013,0.6
9,2013,0.607
10,2013,0.68
1,2014,0.207
2,2014,0.252
3,2014,0.285
4,2014,0.318
5,2014,0.368
6,2014,0.418
7,2014,0.479
8,2014,0.543
9,2014,0.628
10,2014,0.65
1,2015,0
2,2015,0.251
3,2015,0.284
4,2015,0.321
5,2015,0.359
6,2015,0.409
7,2015,0.473
8,2015,0.487
9,2015,0.582
10,2015,0.6
1,2016,0
2,2016,0.249
3,2016,0.271
4,2016,0.296
5,2016,0.35
6,2016,0.385
7,2016,0.45
8,2016,0.531
9,2016,0.556
10,2016,0.684
1,2017,0.212
2,2017,0.247
3,2017,0.276
4,2017,0.299
5,2017,0.357
6,2017,0.41
7,2017,0.455
8,2017,0.543
9,2017,0.642
10,2017,0.735
