"age","year","data"
1,1998,0.038
2,1998,0.081
3,1998,0.207
4,1998,0.333
5,1998,0.474
6,1998,0.577
7,1998,0.581
8,1998,0.648
9,1998,0.656
10,1998,0.642
1,1999,0.044
2,1999,0.091
3,1999,0.15
4,1999,0.319
5,1999,0.437
6,1999,0.524
7,1999,0.586
8,1999,0.644
9,1999,0.664
10,1999,0.62
1,2000,0.051
2,2000,0.106
3,2000,0.165
4,2000,0.219
5,2000,0.408
6,2000,0.467
7,2000,0.649
8,2000,0.695
9,2000,0.656
10,2000,0.744
1,2001,0.061
2,2001,0.122
3,2001,0.202
4,2001,0.233
5,2001,0.331
6,2001,0.452
7,2001,0.56
8,2001,0.641
9,2001,0.798
10,2001,0.816
1,2002,0.048
2,2002,0.118
3,2002,0.213
4,2002,0.301
5,2002,0.319
6,2002,0.403
7,2002,0.446
8,2002,0.612
9,2002,0.685
10,2002,0.781
1,2003,0.057
2,2003,0.111
3,2003,0.227
4,2003,0.269
5,2003,0.344
6,2003,0.391
7,2003,0.464
8,2003,0.6
9,2003,0.714
10,2003,0.96
1,2004,0.047
2,2004,0.116
3,2004,0.201
4,2004,0.306
5,2004,0.384
6,2004,0.43
7,2004,0.489
8,2004,0.495
9,2004,0.78
10,2004,0.921
1,2005,0.053
2,2005,0.106
3,2005,0.216
4,2005,0.237
5,2005,0.378
6,2005,0.422
7,2005,0.434
8,2005,0.527
9,2005,0.621
10,2005,0.815
1,2006,0.052
2,2006,0.13
3,2006,0.19
4,2006,0.316
5,2006,0.354
6,2006,0.424
7,2006,0.439
8,2006,0.506
9,2006,0.583
10,2006,0.688
1,2007,0.047
2,2007,0.093
3,2007,0.235
4,2007,0.238
5,2007,0.337
6,2007,0.394
7,2007,0.458
8,2007,0.412
9,2007,0.526
10,2007,0.512
1,2008,0.048
2,2008,0.114
3,2008,0.196
4,2008,0.274
5,2008,0.355
6,2008,0.429
7,2008,0.484
8,2008,0.627
9,2008,0.598
10,2008,0.449
1,2009,0.052
2,2009,0.114
3,2009,0.194
4,2009,0.344
5,2009,0.373
6,2009,0.412
7,2009,0.472
8,2009,0.54
9,2009,0.565
10,2009,0.576
1,2010,0.053
2,2010,0.116
3,2010,0.179
4,2010,0.34
5,2010,0.361
6,2010,0.401
7,2010,0.448
8,2010,0.572
9,2010,0.568
10,2010,0.655
1,2011,0.039
2,2011,0.1
3,2011,0.187
4,2011,0.209
5,2011,0.355
6,2011,0.483
7,2011,0.438
8,2011,0.422
9,2011,0.53
10,2011,0.58
1,2012,0.052
2,2012,0.093
3,2012,0.142
4,2012,0.188
5,2012,0.331
6,2012,0.393
7,2012,0.484
8,2012,0.479
9,2012,0.48
10,2012,0.518
1,2013,0.043
2,2013,0.107
3,2013,0.153
4,2013,0.208
5,2013,0.32
6,2013,0.354
7,2013,0.434
8,2013,0.493
9,2013,0.662
10,2013,0.468
1,2014,0.048
2,2014,0.104
3,2014,0.158
4,2014,0.202
5,2014,0.312
6,2014,0.38
7,2014,0.439
8,2014,0.484
9,2014,0.458
10,2014,0.615
1,2015,0.024
2,2015,0.065
3,2015,0.12
4,2015,0.207
5,2015,0.279
6,2015,0.323
7,2015,0.379
8,2015,0.435
9,2015,0.465
10,2015,0.457
1,2016,0.03
2,2016,0.066
3,2016,0.117
4,2016,0.198
5,2016,0.26
6,2016,0.329
7,2016,0.38
8,2016,0.434
9,2016,0.479
10,2016,0.514
1,2017,0.032
2,2017,0.069
3,2017,0.132
4,2017,0.181
5,2017,0.27
6,2017,0.333
7,2017,0.359
8,2017,0.458
9,2017,0.476
10,2017,0.557
